Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.550.000
TL",2 + 1,110 m²,15 Yaşında,Kot 2,Ankara / Mamak / General Zeki Doğan Mah.
"1.550.000
TL",3 + 1,155 m²,25 Yaşında,En Üst Kat,Ankara / Polatlı / Yeni Mah.
"1.550.000
TL",2 + 1,85 m²,20 Yaşında,Kot 1,Ankara / Keçiören / Uyanış Mah.
"1.550.000
TL",1 + 1,68 m²,10 Yaşında,Ara Kat,Ankara / Sincan / Fevzi Çakmak Mah.
"1.550.000
TL",2 + 1,85 m²,30 Yaşında,Giriş Katı,Ankara / Mamak / Balkiraz Mah.
"1.550.000
TL",3 + 1,100 m²,15 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Yunus Emre Mah.
"1.550.000
TL",2 + 1,110 m²,8 Yaşında,Giriş Katı,Ankara / Mamak / Ekin Mah.
"1.550.000
TL",2 + 1,85 m²,33 Yaşında,Yüksek Giriş,Ankara / Mamak / Abidinpaşa Mah.
"1.550.000
TL",2 + 1,90 m²,20 Yaşında,Giriş Katı,Ankara / Mamak / Mutlu Mah.
"1.550.000
TL",3 + 1,120 m²,15 Yaşında,Bahçe Katı,Ankara / Mamak / Mutlu Mah.
"1.550.000
TL",2 + 1,80 m²,35 Yaşında,Kot 1,Ankara / Çankaya / Tınaztepe Mah.
"1.550.000
TL",1 + 1,60 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.550.000
TL",2 + 1,95 m²,11 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.550.000
TL",2 + 1,98 m²,35 Yaşında,Kot 1,Ankara / Keçiören / Tepebaşı Mah.
"1.550.000
TL",2 + 1,110 m²,29 Yaşında,Kot 1,Ankara / Mamak / Demirlibahçe Mah.
"1.550.000
TL",3 + 1,115 m²,30 Yaşında,En Üst Kat,Ankara / Yenimahalle / Mehmet Akif Ersoy Mah.
"1.550.000
TL",1 + 1,60 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.550.000
TL",3 + 1,120 m²,11 Yaşında,Bahçe Katı,Ankara / Elmadağ / Hasanoğlan Fatih Mah.
"1.550.000
TL",2 + 1,100 m²,5 Yaşında,10. Kat,Ankara / Mamak / Kusunlar Mah.
"1.550.000
TL",1 + 1,90 m²,40 Yaşında,Kot 1,Ankara / Keçiören / Tepebaşı Mah.
"1.550.000
TL",3 + 1,110 m²,25 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şehitlik Mah.
"1.550.000
TL",2 + 1,90 m²,10 Yaşında,Giriş Katı,Ankara / Keçiören / Yükseltepe Mah.
"1.550.000
TL",3 + 1,90 m²,30 Yaşında,Yüksek Giriş,Ankara / Keçiören / Çiçekli Mah.
"1.550.000
TL",2 + 1,85 m²,18 Yaşında,Giriş Katı,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",2 + 1,105 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Şentepe Mah.
"1.550.000
TL",3 + 1,120 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.550.000
TL",1 + 1,55 m²,45 Yaşında,Giriş Katı,Ankara / Altındağ / Aydınlıkevler Mah.
"1.550.000
TL",3 + 1,155 m²,15 Yaşında,En Üst Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.550.000
TL",2 + 1,75 m²,30 Yaşında,4. Kat,Ankara / Pursaklar / Yunus Emre Mah.
"1.550.000
TL",1 + 1,43 m²,1 Yaşında,1. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.550.000
TL",2 + 1,90 m²,10 Yaşında,6. Kat,Ankara / Mamak / Zirvekent Mah.
"1.550.000
TL",2 + 1,95 m²,Sıfır Bina,Bahçe Katı,Ankara / Çubuk / Dumlupınar Mah.
"1.550.000
TL",1 + 1,60 m²,Sıfır Bina,Yüksek Giriş,Ankara / Sincan / Fevzi Çakmak Mah.
"1.550.000
TL",2 + 1,85 m²,5 Yaşında,Giriş Katı,Ankara / Mamak / Yeşilbayır Mah.
"1.550.000
TL",3 + 1,110 m²,26 Yaşında,Bahçe Katı,Ankara / Sincan / Selçuklu Mah.
"1.550.000
TL",3 + 1,120 m²,22 Yaşında,Ara Kat,Ankara / Polatlı / Yeni Mah.
"1.550.000
TL",3 + 1,120 m²,20 Yaşında,Kot 1,Ankara / Mamak / Kazım Orbay Mah.
"1.550.000
TL",1 + 1,70 m²,2 Yaşında,6. Kat,Ankara / Polatlı / İstiklal Mah.
"1.550.000
TL",2 + 1,80 m²,12 Yaşında,Yüksek Giriş,Ankara / Keçiören / Şehit Kubilay Mah.
"1.550.000
TL",2 + 1,105 m²,12 Yaşında,Bahçe Katı,Ankara / Etimesgut / Piyade Mah.
"1.550.000
TL",3 + 1,150 m²,5 Yaşında,Kot 1,Ankara / Altındağ / Battalgazi Mah.
"1.550.000
TL",2 + 1,100 m²,26 Yaşında,Kot 1,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",2 + 1,115 m²,20 Yaşında,4. Kat,Ankara / Pursaklar / Ayyıldız Mah.
"1.550.000
TL",2 + 1,75 m²,25 Yaşında,4. Kat,Ankara / Pursaklar / Ayyıldız Mah.
"1.550.000
TL",3 + 1,145 m²,30 Yaşında,2. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.550.000
TL",3 + 1,110 m²,20 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.550.000
TL",2 + 1,85 m²,18 Yaşında,Kot 1,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",1 + 1,90 m²,26 Yaşında,Giriş Katı,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",2 + 1,70 m²,35 Yaşında,Giriş Katı,Ankara / Mamak / Şafaktepe Mah.
"1.550.000
TL",2 + 1,100 m²,22 Yaşında,Kot 1,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",2 + 1,70 m²,16 Yaşında,Kot 2,Ankara / Mamak / Misket Mah.
"1.550.000
TL",2 + 1,95 m²,16 Yaşında,Kot 1,Ankara / Pursaklar / Merkez Mah.
"1.550.000
TL",3 + 1,130 m²,30 Yaşında,3. Kat,Ankara / Polatlı / Yeni Mah.
"1.550.000
TL",2 + 1,90 m²,20 Yaşında,Kot 2,Ankara / Yenimahalle / Ergenekon Mah.
"1.550.000
TL",3 + 1,125 m²,5 Yaşında,3. Kat,Ankara / Sincan / Cumhuriyet Mah.
"1.550.000
TL",1 + 1,65 m²,40 Yaşında,Kot 2,Ankara / Çankaya / Fakülteler Mah.
"1.550.000
TL",2 + 1,85 m²,35 Yaşında,Giriş Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.550.000
TL",1 + 1,70 m²,Sıfır Bina,5. Kat,Ankara / Çubuk / Esenboğa Merkez Mah.
"1.550.000
TL",1 + 1,55 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Yenice Mah.
"1.550.000
TL",3 + 1,130 m²,25 Yaşında,Kot 3,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",3 + 1,120 m²,11 Yaşında,4. Kat,Ankara / Beypazarı / Ayvaşık Mah.
"1.550.000
TL",3 + 1,120 m²,15 Yaşında,Giriş Katı,Ankara / Polatlı / Şehitlik Mah.
"1.550.000
TL",2 + 1,100 m²,40 Yaşında,Kot 3,Ankara / Çankaya / Zafertepe Mah.
"1.550.000
TL",2 + 1,95 m²,25 Yaşında,Kot 1,Ankara / Mamak / Tuzluçayır Mah.
"1.550.000
TL",3 + 1,130 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Zafer Mah.
"1.550.000
TL",3 + 1,120 m²,25 Yaşında,Bahçe Katı,Ankara / Polatlı / Şehitlik Mah.
"1.550.000
TL",2 + 1,90 m²,21 Yaşında,Yüksek Giriş,Ankara / Mamak / Demirlibahçe Mah.
"1.550.000
TL",3 + 1,130 m²,35 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.550.000
TL",2 + 1,105 m²,15 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.550.000
TL",1 + 1,65 m²,Sıfır Bina,Giriş Katı,Ankara / Sincan / Fevzi Çakmak Mah.
"1.550.000
TL",2 + 1,90 m²,18 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Fatih Mah.
"1.550.000
TL",2 + 1,100 m²,3 Yaşında,Giriş Katı,Ankara / Mamak / Ekin Mah.
"1.550.000
TL",3 + 1,135 m²,25 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.550.000
TL",2 + 1,105 m²,4 Yaşında,Kot 2,Ankara / Mamak / Mutlu Mah.
"1.550.000
TL",3 + 1,135 m²,17 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.559.000
TL",3 + 1,120 m²,23 Yaşında,Bahçe Katı,Ankara / Sincan / Selçuklu Mah.
"1.560.000
TL",3 + 1,115 m²,19 Yaşında,Yüksek Giriş,Ankara / Polatlı / Gazi Mah.
"1.560.000
TL",1 + 1,76 m²,36 Yaşında,Yüksek Giriş,Ankara / Keçiören / Tepebaşı Mah.
"1.560.000
TL",3 + 1,120 m²,8 Yaşında,Giriş Katı,Ankara / Mamak / Gülveren Mah.
"1.560.000
TL",3 + 1,125 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Andiçen Mah.
"1.560.000
TL",2 + 1,75 m²,15 Yaşında,Kot 1,Ankara / Keçiören / 23 Nisan Mah.
"1.560.000
TL",2 + 1,95 m²,15 Yaşında,Giriş Katı,Ankara / Mamak / Peyami Safa Mah.
"1.565.000
TL",2 + 1,110 m²,12 Yaşında,Ara Kat,Ankara / Akyurt / Yeşiltepe Mah.
"1.565.000
TL",2 + 1,110 m²,30 Yaşında,1. Kat,Ankara / Yenimahalle / Anadolu Mah.
"1.565.000
TL",3 + 1,120 m²,11 Yaşında,Giriş Katı,Ankara / Keçiören / Köşk Mah.
"1.565.000
TL",3 + 1,135 m²,11 Yaşında,3. Kat,Ankara / Akyurt / Yıldırım Mah.
"1.569.000
TL",3 + 1,120 m²,21 Yaşında,Bahçe Katı,Ankara / Sincan / Tandoğan Mah.
"1.569.000
TL",2 + 1,100 m²,25 Yaşında,2. Kat,Ankara / Sincan / Tandoğan Mah.
"1.569.000
TL",3 + 1,105 m²,15 Yaşında,Kot 3,Ankara / Keçiören / Pınarbaşı Mah.
"1.569.000
TL",3 + 1,120 m²,21 Yaşında,Bahçe Katı,Ankara / Sincan / Atatürk Mah.
"1.569.000
TL",1 + 1,85 m²,49 Yaşında,Yüksek Giriş,Ankara / Altındağ / Aydınlıkevler Mah.
"1.569.000
TL",1 + 1,90 m²,35 Yaşında,Yüksek Giriş,Ankara / Altındağ / Aydınlıkevler Mah.
"1.569.000
TL",2 + 1,120 m²,24 Yaşında,2. Kat,Ankara / Sincan / Tandoğan Mah.
"1.569.000
TL",2 + 1,90 m²,21 Yaşında,2. Kat,Ankara / Sincan / Tandoğan Mah.
"1.569.000
TL",3 + 1,120 m²,23 Yaşında,Bahçe Katı,Ankara / Sincan / Tandoğan Mah.
"1.570.000
TL",2 + 1,85 m²,25 Yaşında,Kot 1,Ankara / Keçiören / Kalaba Mah.
"1.570.000
TL",1 + 1,50 m²,40 Yaşında,Yüksek Giriş,Ankara / Keçiören / Karargahtepe Mah.
"1.570.000
TL",2 + 1,105 m²,15 Yaşında,Kot 2,Ankara / Mamak / Kazım Orbay Mah.
"1.570.000
TL",3 + 1,120 m²,15 Yaşında,Kot 2,Ankara / Mamak / Ekin Mah.
"1.570.000
TL",2 + 1,110 m²,15 Yaşında,Giriş Katı,Ankara / Polatlı / Şehitlik Mah.
"1.570.000
TL",2 + 1,100 m²,1 Yaşında,,Ankara / Çubuk / Gökçedere Mah.
"1.570.000
TL",3 + 1,125 m²,12 Yaşında,Kot 1,Ankara / Altındağ / Beşikkaya Mah.
"1.570.000
TL",2 + 1,80 m²,1 Yaşında,Zemin,Ankara / Polatlı / İstiklal Mah.
"1.570.000
TL",1 + 1,49 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.570.000
TL",2 + 1,105 m²,25 Yaşında,Giriş Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.574.000
TL",2 + 1,100 m²,30 Yaşında,Yüksek Giriş,Ankara / Keçiören / Çiçekli Mah.
"1.575.000
TL",2 + 1,95 m²,37 Yaşında,2. Kat,Ankara / Altındağ / Zübeyde Hanım Mah.
"1.575.000
TL",3 + 1,100 m²,16 Yaşında,Giriş Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.575.000
TL",3 + 1,130 m²,9 Yaşında,Kot 2,Ankara / Altındağ / Karapürçek Mah.
"1.575.000
TL",3 + 1,130 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetevler Mah.
"1.575.000
TL",3 + 1,95 m²,30 Yaşında,Bahçe Katı,Ankara / Keçiören / Pınarbaşı Mah.
"1.575.000
TL",3 + 1,115 m²,15 Yaşında,Kot 2,Ankara / Mamak / Başak Mah.
"1.575.000
TL",2 + 1,95 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetevler Mah.
"1.575.000
TL",2 + 1,115 m²,25 Yaşında,3. Kat,Ankara / Mamak / Başak Mah.
"1.575.000
TL",2 + 1,85 m²,10 Yaşında,1. Kat,Ankara / Beypazarı / Ayvaşık Mah.
"1.575.000
TL",3 + 1,120 m²,25 Yaşında,3. Kat,Ankara / Çubuk / Barbaros Mah.
"1.575.000
TL",2 + 1,110 m²,28 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şentepe Mah.
"1.575.000
TL",2 + 1,85 m²,17 Yaşında,Giriş Katı,Ankara / Mamak / Şahintepe Mah.
"1.575.000
TL",2 + 1,90 m²,25 Yaşında,2. Kat,Ankara / Etimesgut / İstasyon Mah.
"1.575.000
TL",3 + 1,120 m²,15 Yaşında,Kot 1,Ankara / Mamak / Bostancık Mah.
"1.575.000
TL",3 + 1,95 m²,20 Yaşında,Kot 1,Ankara / Mamak / Akdere Mah.
"1.575.000
TL",3 + 1,125 m²,26 Yaşında,Yüksek Giriş,Ankara / Yenimahalle / Demetlale Mah.
"1.575.000
TL",3 + 1,120 m²,25 Yaşında,Kot 3,Ankara / Mamak / Tuzluçayır Mah.
"1.575.000
TL",1 + 1,100 m²,24 Yaşında,2. Kat,Ankara / Gölbaşı / Bahçelievler Mah.
"1.578.000
TL",2 + 1,110 m²,11 Yaşında,Yüksek Giriş,Ankara / Keçiören / Osmangazi Mah.
"1.579.000
TL",3 + 1,110 m²,16 Yaşında,Kot 2,Ankara / Keçiören / Yayla Mah.
"1.579.000
TL",2 + 1,120 m²,10 Yaşında,Yüksek Giriş,Ankara / Mamak / Tuzluçayır Mah.
"1.579.000
TL",2 + 1,90 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Mareşal Çakmak Mah.
"1.579.000
TL",3 + 1,90 m²,20 Yaşında,4. Kat,Ankara / Sincan / İstasyon Mah.
"1.579.000
TL",3 + 1,115 m²,15 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.579.000
TL",2 + 1,110 m²,10 Yaşında,Yüksek Giriş,Ankara / Altındağ / Beşikkaya Mah.
"1.579.000
TL",3 + 1,120 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.579.000
TL",3 + 1,125 m²,5 Yaşında,Zemin,Ankara / Keçiören / Kuşcağız Mah.
"1.579.000
TL",2 + 1,95 m²,21 Yaşında,Yüksek Giriş,Ankara / Sincan / Akşemsettin Mah.
"1.575.000
TL",3 + 1,95 m²,30 Yaşında,Bahçe Katı,Ankara / Keçiören / Pınarbaşı Mah.
"1.575.000
TL",3 + 1,115 m²,15 Yaşında,Kot 2,Ankara / Mamak / Başak Mah.
"1.575.000
TL",2 + 1,95 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetevler Mah.
"1.575.000
TL",2 + 1,115 m²,25 Yaşında,3. Kat,Ankara / Mamak / Başak Mah.
"1.575.000
TL",2 + 1,85 m²,10 Yaşında,1. Kat,Ankara / Beypazarı / Ayvaşık Mah.
"1.575.000
TL",3 + 1,120 m²,25 Yaşında,3. Kat,Ankara / Çubuk / Barbaros Mah.
"1.575.000
TL",2 + 1,110 m²,28 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şentepe Mah.
"1.575.000
TL",2 + 1,85 m²,17 Yaşında,Giriş Katı,Ankara / Mamak / Şahintepe Mah.
"1.575.000
TL",2 + 1,90 m²,25 Yaşında,2. Kat,Ankara / Etimesgut / İstasyon Mah.
"1.575.000
TL",3 + 1,120 m²,15 Yaşında,Kot 1,Ankara / Mamak / Bostancık Mah.
"1.575.000
TL",3 + 1,95 m²,20 Yaşında,Kot 1,Ankara / Mamak / Akdere Mah.
"1.575.000
TL",3 + 1,125 m²,26 Yaşında,Yüksek Giriş,Ankara / Yenimahalle / Demetlale Mah.
"1.575.000
TL",3 + 1,120 m²,25 Yaşında,Kot 3,Ankara / Mamak / Tuzluçayır Mah.
"1.575.000
TL",1 + 1,100 m²,24 Yaşında,2. Kat,Ankara / Gölbaşı / Bahçelievler Mah.
"1.578.000
TL",2 + 1,110 m²,11 Yaşında,Yüksek Giriş,Ankara / Keçiören / Osmangazi Mah.
"1.579.000
TL",3 + 1,110 m²,16 Yaşında,Kot 2,Ankara / Keçiören / Yayla Mah.
"1.579.000
TL",2 + 1,120 m²,10 Yaşında,Yüksek Giriş,Ankara / Mamak / Tuzluçayır Mah.
"1.579.000
TL",2 + 1,90 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Mareşal Çakmak Mah.
"1.579.000
TL",3 + 1,90 m²,20 Yaşında,4. Kat,Ankara / Sincan / İstasyon Mah.
"1.579.000
TL",3 + 1,115 m²,15 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.579.000
TL",2 + 1,110 m²,10 Yaşında,Yüksek Giriş,Ankara / Altındağ / Beşikkaya Mah.
"1.579.000
TL",3 + 1,120 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.579.000
TL",3 + 1,125 m²,5 Yaşında,Zemin,Ankara / Keçiören / Kuşcağız Mah.
"1.579.000
TL",2 + 1,95 m²,21 Yaşında,Yüksek Giriş,Ankara / Sincan / Akşemsettin Mah.
"1.580.000
TL",3 + 1,125 m²,23 Yaşında,Kot 2,Ankara / Keçiören / Etlik Mah.
"1.580.000
TL",2 + 1,130 m²,30 Yaşında,Kot 1,Ankara / Mamak / Abidinpaşa Mah.
"1.580.000
TL",3 + 1,120 m²,35 Yaşında,Yüksek Giriş,Ankara / Polatlı / Gazi Mah.
"1.580.000
TL",2 + 1,125 m²,5 Yaşında,1. Kat,Ankara / Akyurt / Yeşiltepe Mah.
"1.580.000
TL",3 + 1,110 m²,25 Yaşında,Giriş Katı,Ankara / Mamak / Aşık Veysel Mah.
"1.580.000
TL",2 + 1,100 m²,15 Yaşında,Yüksek Giriş,Ankara / Polatlı / Gazi Mah.
"1.580.000
TL",4 + 2,190 m²,20 Yaşında,Yüksek Giriş,Ankara / Sincan / Plevne Mah.
"1.580.000
TL",3 + 1,100 m²,25 Yaşında,Kot 2,Ankara / Keçiören / Köşk Mah.
"1.580.000
TL",2 + 1,100 m²,25 Yaşında,Kot 1,Ankara / Sincan / Mareşal Çakmak Mah.
"1.580.000
TL",3 + 1,105 m²,15 Yaşında,Kot 1,Ankara / Mamak / Mutlu Mah.
"1.580.000
TL",2 + 1,100 m²,5 Yaşında,Yüksek Giriş,Ankara / Mamak / Yeni Bayındır Mah.
"1.580.000
TL",3 + 1,140 m²,20 Yaşında,En Üst Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.580.000
TL",3 + 1,95 m²,23 Yaşında,Kot 1,Ankara / Mamak / Balkiraz Mah.
"1.580.000
TL",3 + 2,160 m²,25 Yaşında,Giriş Katı,Ankara / Sincan / Plevne Mah.
"1.580.000
TL",2 + 1,75 m²,10 Yaşında,Giriş Katı,Ankara / Keçiören / Kuşcağız Mah.
"1.580.000
TL",3 + 1,105 m²,11 Yaşında,Kot 1,Ankara / Keçiören / Yükseltepe Mah.
"1.580.000
TL",3 + 1,120 m²,12 Yaşında,Kot 1,Ankara / Mamak / Bahçelerüstü Mah.
"1.580.000
TL",3 + 1,100 m²,11 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Yunus Emre Mah.
"1.580.000
TL",2 + 1,85 m²,13 Yaşında,Kot 1,Ankara / Etimesgut / Piyade Mah.
"1.581.000
TL",3 + 1,125 m²,9 Yaşında,Kot 1,Ankara / Mamak / Şirintepe Mah.
"1.584.000
TL",2 + 1,80 m²,28 Yaşında,Giriş Katı,Ankara / Keçiören / Çiçekli Mah.
"1.585.000
TL",2 + 1,98 m²,30 Yaşında,Bahçe Katı,Ankara / Keçiören / Çiçekli Mah.
"1.585.000
TL",3 + 1,100 m²,25 Yaşında,Zemin,Ankara / Mamak / Aşık Veysel Mah.
"1.585.000
TL",2 + 1,105 m²,22 Yaşında,3. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.585.000
TL",3 + 1,120 m²,15 Yaşında,Kot 1,Ankara / Mamak / Bostancık Mah.
"1.585.000
TL",3 + 1,135 m²,26 Yaşında,5. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.589.000
TL",2 + 1,85 m²,30 Yaşında,Giriş Katı,Ankara / Keçiören / Çiçekli Mah.
"1.589.000
TL",2 + 1,75 m²,30 Yaşında,Giriş Katı,Ankara / Keçiören / Çiçekli Mah.
"1.589.000
TL",3 + 1,125 m²,20 Yaşında,Kot 3,Ankara / Mamak / Mutlu Mah.
"1.589.000
TL",2 + 1,100 m²,5 Yaşında,Bahçe Katı,Ankara / Keçiören / Atapark Mah.
"1.589.999
TL",2 + 1,100 m²,Sıfır Bina,Kot 1,Ankara / Keçiören / Atapark Mah.
"1.590.000
TL",2 + 1,120 m²,8 Yaşında,1. Kat,Ankara / Mamak / Akşemsettin Mah.
"1.590.000
TL",2 + 1,95 m²,6 Yaşında,Bahçe Katı,Ankara / Sincan / Mustafa Kemal Mah.
"1.590.000
TL",2 + 1,119 m²,22 Yaşında,Kot 1,Ankara / Keçiören / Bağlarbaşı Mah.
"1.590.000
TL",2 + 1,85 m²,30 Yaşında,Yüksek Giriş,Ankara / Yenimahalle / Karşıyaka Mah.
"1.590.000
TL",3 + 1,100 m²,20 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Merkez Mah.
"1.590.000
TL",2 + 1,95 m²,44 Yaşında,Kot 2,Ankara / Mamak / Saimekadın Mah.
"1.590.000
TL",3 + 1,110 m²,7 Yaşında,Kot 1,Ankara / Mamak / Şahap Gürler Mah.
"1.590.000
TL",3 + 1,95 m²,25 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Merkez Mah.
"1.590.000
TL",2 + 1,85 m²,9 Yaşında,Kot 1,Ankara / Mamak / Misket Mah.
"1.590.000
TL",1 + 1,85 m²,30 Yaşında,Bodrum ve Zemin,Ankara / Çankaya / Cebeci Mah.
"1.590.000
TL",3 + 1,98 m²,22 Yaşında,Yüksek Giriş,Ankara / Sincan / Mareşal Çakmak Mah.
"1.590.000
TL",2 + 1,75 m²,50 Yaşında,1. Kat,Ankara / Mamak / Saimekadın Mah.
"1.590.000
TL",2 + 1,100 m²,5 Yaşında,Bahçe Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.590.000
TL",4 + 1,136 m²,15 Yaşında,Bahçe Katı,Ankara / Keçiören / Yeşiltepe Mah.
"1.590.000
TL",2 + 1,109 m²,15 Yaşında,Kot 1,Ankara / Keçiören / Atapark Mah.
"1.590.000
TL",2 + 1,100 m²,8 Yaşında,Bodrum,Ankara / Altındağ / Beşikkaya Mah.
"1.590.000
TL",3 + 1,120 m²,22 Yaşında,En Üst Kat,Ankara / Polatlı / Zafer Mah.
"1.590.000
TL",3 + 1,115 m²,18 Yaşında,Kot 1,Ankara / Pursaklar / Merkez Mah.
"1.590.000
TL",1 + 1,47 m²,Sıfır Bina,1. Kat,Ankara / Çubuk / Dumlupınar Mah.
"1.590.000
TL",3 + 1,120 m²,45 Yaşında,En Üst Kat,Ankara / Polatlı / Gazi Mah.
"1.590.000
TL",3 + 1,110 m²,16 Yaşında,Bahçe Katı,Ankara / Sincan / Plevne Mah.
"1.590.000
TL",3 + 1,150 m²,21 Yaşında,Yüksek Giriş,Ankara / Polatlı / Kurtuluş Mah.
"1.590.000
TL",2 + 1,75 m²,30 Yaşında,Yüksek Giriş,Ankara / Pursaklar / Ayyıldız Mah.
"1.590.000
TL",3 + 1,105 m²,30 Yaşında,Giriş Katı,Ankara / Pursaklar / Merkez Mah.
"1.590.000
TL",3 + 1,110 m²,12 Yaşında,Kot 1,Ankara / Keçiören / Yükseltepe Mah.
"1.590.000
TL",2 + 1,90 m²,26 Yaşında,Giriş Katı,Ankara / Keçiören / Aşağı Eğlence Mah.
"1.590.000
TL",2 + 1,90 m²,31 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetevler Mah.
"1.590.000
TL",1 + 1,35 m²,Sıfır Bina,,Ankara / Gölbaşı / Günalan Mah.
"1.590.000
TL",3 + 1,100 m²,18 Yaşında,Giriş Katı,Ankara / Pursaklar / Yunus Emre Mah.
"1.590.000
TL",3 + 1,95 m²,25 Yaşında,Giriş Katı,Ankara / Pursaklar / Yunus Emre Mah.
"1.595.000
TL",2 + 1,85 m²,26 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Işınlar Mah.
"1.595.000
TL",2 + 1,115 m²,22 Yaşında,Kot 1,Ankara / Keçiören / İncirli Mah.
"1.595.000
TL",2 + 1,75 m²,9 Yaşında,Giriş Katı,Ankara / Mamak / Yeni Bayındır Mah.
"1.595.000
TL",2 + 1,85 m²,15 Yaşında,Kot 2,Ankara / Mamak / Misket Mah.
"1.595.000
TL",3 + 1,110 m²,7 Yaşında,Bahçe Katı,Ankara / Polatlı / Fatih Mah.
"1.595.000
TL",3 + 1,120 m²,25 Yaşında,Kot 3,Ankara / Mamak / Tuzluçayır Mah.
"1.595.000
TL",3 + 1,110 m²,20 Yaşında,Kot 2,Ankara / Mamak / Şafaktepe Mah.
"1.595.000
TL",1 + 1,55 m²,Sıfır Bina,Ara Kat,Ankara / Akyurt / Saracalar Mah.
"1.595.000
TL",3 + 1,130 m²,17 Yaşında,Kot 2,Ankara / Mamak / Şafaktepe Mah.
"1.595.000
TL",2 + 1,80 m²,15 Yaşında,Bahçe Katı,Ankara / Mamak / Misket Mah.
"1.598.000
TL",2 + 1,100 m²,12 Yaşında,Bahçe Katı,Ankara / Altındağ / Battalgazi Mah.
"1.598.000
TL",2 + 1,105 m²,17 Yaşında,Yüksek Giriş,Ankara / Sincan / Selçuklu Mah.
"1.598.000
TL",3 + 1,115 m²,16 Yaşında,Kot 1,Ankara / Keçiören / Kalaba Mah.
"1.599.000
TL",2 + 1,90 m²,12 Yaşında,Giriş Katı,Ankara / Mamak / Şahintepe Mah.
"1.599.000
TL",2 + 1,75 m²,11 Yaşında,Kot 2,Ankara / Etimesgut / Alsancak Mah.
"1.599.000
TL",2 + 1,100 m²,15 Yaşında,Kot 1,Ankara / Keçiören / Ayvalı Mah.
"1.599.000
TL",3 + 1,120 m²,23 Yaşında,Bahçe Katı,Ankara / Sincan / Atatürk Mah.
"1.599.000
TL",3 + 1,110 m²,23 Yaşında,Bodrum ve Zemin,Ankara / Keçiören / 19 Mayıs Mah.
