Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.300.000
TL",3 + 1,145 m²,28 Yaşında,En Üst Kat,Ankara / Polatlı / İstiklal Mah.
"1.300.000
TL",3 + 0,125 m²,28 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",3 + 1,100 m²,23 Yaşında,Bahçe Katı,Ankara / Sincan / Mareşal Çakmak Mah.
"1.300.000
TL",3 + 1,140 m²,25 Yaşında,Yüksek Giriş,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",3 + 1,130 m²,25 Yaşında,Giriş Katı,Ankara / Polatlı / Zafer Mah.
"1.300.000
TL",3 + 1,160 m²,30 Yaşında,En Üst Kat,Ankara / Nallıhan / Nasuhpaşa Mah.
"1.300.000
TL",2 + 1,120 m²,20 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",1 + 1,65 m²,5 Yaşında,,Ankara / Polatlı / Çimenceğiz Mah.
"1.300.000
TL",2 + 1,100 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Şentepe Mah.
"1.300.000
TL",2 + 1,100 m²,40 Yaşında,3. Kat,Ankara / Altındağ / Örnek Mah.
"1.300.000
TL",3 + 1,130 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",1 + 1,75 m²,1 Yaşında,,Ankara / Akyurt / Yıldırım Mah.
"1.300.000
TL",3 + 1,135 m²,30 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",3 + 1,130 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.300.000
TL",2 + 1,100 m²,22 Yaşında,Giriş Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.300.000
TL",3 + 1,110 m²,24 Yaşında,2. Kat,Ankara / Mamak / Lalahan Mah.
"1.300.000
TL",3 + 1,125 m²,11 Yaşında,5. Kat,Ankara / Sincan / Hürriyet Mah.
"1.310.000
TL",2 + 1,75 m²,8 Yaşında,1. Kat,Ankara / Mamak / Zirvekent Mah.
"1.310.000
TL",3 + 1,125 m²,20 Yaşında,1. Kat,Ankara / Polatlı / Zafer Mah.
"1.320.000
TL",2 + 1,110 m²,20 Yaşında,4. Kat,Ankara / Polatlı / Şentepe Mah.
"1.320.000
TL",2 + 1,125 m²,8 Yaşında,Bahçe Katı,Ankara / Polatlı / Kurtuluş Mah.
"1.325.000
TL",3 + 1,100 m²,30 Yaşında,Bahçe Katı,Ankara / Mamak / Abidinpaşa Mah.
"1.325.000
TL",2 + 1,90 m²,11 Yaşında,Kot 1,Ankara / Mamak / Küçük Kayaş Mah.
"1.330.000
TL",3 + 1,115 m²,36 Yaşında,5. Kat,Ankara / Polatlı / Zafer Mah.
"1.335.000
TL",3 + 1,130 m²,30 Yaşında,En Üst Kat,Ankara / Polatlı / Zafer Mah.
"1.339.000
TL",3 + 1,130 m²,26 Yaşında,Bahçe Katı,Ankara / Sincan / İstasyon Mah.
"1.339.000
TL",3 + 1,120 m²,21 Yaşında,Bahçe Katı,Ankara / Sincan / İstasyon Mah.
"1.340.000
TL",3 + 1,90 m²,30 Yaşında,Kot 3,Ankara / Mamak / Akdere Mah.
